,book_title,sent_spoil,sentence
219731,"Obsidian (Lux, #1)",1,"And also the Arum were just pure evil , when we got to the part at the end where Baruck died I was like 'Yeah die!'"
249448,"Silence (Hush, Hush, #3)",0,"Don't get me wrong, reading about how devilishly charming and attractive Patch was was something I truly missed about this series, but that was just about it."
242714,Hard Time,0,"What I loved about Eric was his absolute honesty, it didn't matter if it meant revealing facts about his past that made Anne unsure about him."
103566,"Blood Promise (Vampire Academy, #4)",0,"They had once agreed that it would be so much better to die than to be Strigoi and because she loved him, she decided to kill him."
36927,"The Iron Queen (The Iron Fey, #3)",0,BETTER READ THIS!
58729,"Carrier of the Mark (Carrier, #1)",0,"He and his sister have a strange reputation, but she's drawn to him and he apparantly to her."
58123,Oliver Twist,0,I listened to the audio version performed by John Lee who has a deep soothing British voice.
228563,"Lover Reborn (Black Dagger Brotherhood, #10)",0,I never have trouble knowing who is speaking.
137706,Stepbrother Dearest,0,"I don't know what it is because Elec was such a jerk in the beginning, but I did feel sorry for him and understand why he is the way that he is."
179690,Black-Eyed Susans,0,"And when someone mysteriously plants black-eyed susans in her yard several times over the course of fifteen years, regardless of where she is living, she is quick to dismiss it as just someone obsessed with her case."
191037,The Invention of Hugo Cabret,0,Reading this book was unlike anything else I've ever read and it was wonderful.
67792,Letter to a Christian Nation,0,Still enjoyed it though.
170602,"Red Queen (Red Queen, #1)",0,"""Cal betrayed me, and I betrayed him."
230304,"Of Poseidon (The Syrena Legacy, #1)",0,Chloe getting attacked and bitten by the shark could have provided exactly the same outcome.
65710,"The Rocker That Needs Me (The Rocker, #3)",0,"Loved the story of Drake and Lana and there was enough drama in this book to fill a bath tub....Emmie irritated me a bit in this book, which surprised me as I always loved her...."
151894,"Also Known As (Also Known As, #1)",0,"She's fiery, but broken as well, and you can't help but like her!"
104504,"Of Metal and Wishes (Of Metal and Wishes, #1)",0,"She challenged the Ghost, begging him to pay back the Noor scum to prove his own existence."
180107,"Winter (The Lunar Chronicles, #4)",0,"And everyone got their happy ending, which you could have seen coming since they're, you know, fairy tales; but at the same time, the crew fell apart, and it felt like a bittersweet finale and it didn't leave me satisfied."
156593,"Galileo's Daughter: A Historical Memoir of Science, Faith and Love",0,Galileo was able to balance science and religion in a way that is relevant even today.
202676,"Scarlet (The Lunar Chronicles, #2)",0,"I had thought that the series would get better as the books continued, but after finishing Scarlet I find I'm still left feeling underwhelmed."
29333,"Parasite (Parasitology, #1)",1,The obvious analogy is a pregnant woman whose viable pregnancy endangers her life.
172989,Lolita,0,"I started reading Lolita for the first time in high school, and I really couldn't get into it - it was boring and confusing, and I stopped about halfway through."
297354,"Beneath This Man (This Man, #2)",0,"Most stories today goes like this: They meet, they get together, they breakup, they get back together, HAPPILY EVER AFTER!"
188339,You're Never Weird on the Internet,0,"Nearly every sentence I read, I was like, yes, this!"
248698,"Allegiant (Divergent, #3)",0,"It was so vague, I wasn't sure."
180274,Shadow and Bone,1,"Meanwhile, everyone else sees her as extraordinary."
196840,Withering Hope,0,EMERGENCY LANDING
111655,"Shelter Mountain (Virgin River, #2)",0,"That said, I otherwise love the feel and flow of Carr's writing and the characters who come together in a town called Virgin River - a feel-good advertisement for small towns everywhere."
213817,"Evernight (Evernight, #1)",0,"He still wants to be with her, which becomes more complicated after she bites him twice because that apparently gives him vampire-esque powers because he is now eligible to become one, if he so chooses."
12687,The Temporary Wife,0,"Which is why this earned four stars from me, some of the highest rankings I would give in this genre."
188054,"Shadowfever (Fever, #5)",0,*sigh*
194129,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",0,"[Thankfully, I think most of the Christian community grew the wiser about Harry Potter in general as the years passed."
114628,"At Grave's End (Night Huntress, #3)",0,I LOVE VLAD!!!
121047,Far from You,0,Such a great read.
149931,The Future of Us,0,"We're talking dial-up, slow connections (it takes more than an hour to download something!"
201136,Shadow and Bone,0,"I went for a walk after finishing this (at 4:30am, in the dark, and it's freezing outside) because I couldn't get it out of my head."
40846,Moon Over Manifest,0,"I think if it hadn't won the Newbery, I would have taken one look at the cover and went off screaming in the other direction, so it's a moot point."
95850,"The Monstrumologist (The Monstrumologist, #1)",0,"From the surface, it seems to be very much a business deal - Warthrop provides for Will Henry and Will Henry helps Warthrop, no matter the loss of his innocence or childhood in the process."
89129,"Magic Shifts (Kate Daniels, #8)",0,(I laughed out loud as Ghastek tried to draw an apple.)
22540,Romeo and Juliet,0,Shakespeare strings up words in the most mesmerizing way.
158217,"Clockwork Princess (The Infernal Devices, #3)",0,My Will.
145943,"Bloodlines (Bloodlines, #1)",0,"That being said, I'm glad I forced myself to get through the first few chapters."
261834,"Dust & Decay (Rot & Ruin, #2)",0,My god.
153958,"The Paper Magician (The Paper Magician Trilogy, #1)",0,Because I like talking about good things first: the magic.
141642,"The Bone Season (The Bone Season, #1)",0,"However, I enjoyed the world building and the concept of the story."
127853,We Were Liars,0,"The mistery atmosphere kept me reading all day, I couldn't put this book down."
48229,"Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls, and Everything in Between",0,"When I heard about Talking as Fast as I Can, I got even more excited than I did for Graham's novel."
145025,Go Ask Alice,0,I didn't care about her at all.
2501,"What's Left of Me (The Hybrid Chronicles, #1)",0,Sign me up!
293485,Among Others,0,"I said in my original review that it's set after the real climax of the story, and that still seems fair to say."
1871,"The Dream Thieves (The Raven Cycle, #2)",0,"Initial thoughts: Hello, cliffhanger!!!"
71603,"Hallowed Ground (Flight & Glory, #4)",0,"If you haven't taken the Flight & Glory journey yet, it is not one to be missed."
231140,"Egghead: Or, You Can't Survive on Ideas Alone",0,Bo doesn't shy away from the uglier side of things.
135544,If You Were Mine,0,"When a coworker invites her to her wedding, out of desperation she hires an escort not to go alone."
18338,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",0,then Dumbledore comes off as cryptic as hell.
176373,"Addicted for Now (Addicted, #2)",0,"The truth is, after this book you can stop reading the series."
268621,"The Devil's Only Friend (John Cleaver, #4)",0,lol
196158,"A Little Too Far (A Little Too Far, #1)",1,"She thens proceeds to get into a relationship with a priest, have some sex (Okay not all the way) then dump him right after her orgasm."
159007,All the Light We Cannot See,0,The book starts and flows very well till the end; yet I do think (and do wish) that Doerr keeps a script where the the final ends differently.
201095,Zac and Mia,0,I would recommend this book because it's a insightive read.
129194,"Steelheart (The Reckoners, #1)",1,Because they're Epics.
60377,"A Clash of Kings  (A Song of Ice and Fire, #2)",0,The character-driven plot just comes to life with the different point of view chapters.
291626,The Quick,0,"At first, it reads like a classic English, historical fiction novel."
161113,Instructions for the End of the World,0,Nichole's mom leaves.
241477,"Razor's Edge (Star Wars: Empire and Rebellion, #1)",0,Corey.
273594,"Matched (Matched, #1)",0,You know that person you run into at parties that you enjoy chatting with there but never seek out outside of group gatherings?
226038,1Q84 (1Q84 #1-3),0,"All three had been born in this area, had entered nursing school after high school, and had become nurses."""
225144,"Deliver (Deliver, #1)",0,Truly an amazing read.
58158,"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",0,But I ended up loving TAtBILB; it was one of my favorite books of 2014.
157297,The Night Circus,0,"You can almost smell the cinnamon, feel the rain, taste the apple cider."
53575,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",0,"Save yourself the disappointment and time, and don't read this."
125926,"Acceptance (Southern Reach, #3)",0,"Of course, I read this just before we're set to go on some camping trips, but that should just make all the nighttime sounds more interesting (and creepy and give me weird dreams...)"
78179,The Darkest Night (Lords of the Underworld #1),0,And Torin!
198129,"All I Need Is You (Loving You, #2)",0,"I felt they got a good feel for one another in these letters and while they didn't discuss everything as we find out, they did share a lot and at times they shared things they hadn't really shared with anyone else."
35878,"Ignite Me (Shatter Me, #3)",0,That's one thing I need when I read a book or a series: CHARACTER DEVELOPMENT.
297322,Prada & Prejudice,0,Like any Pride and Prejudice retelling this story had a lot of promise.
32117,"Burn for Burn (Burn for Burn, #1)",0,"You know, some characters in some books, when you read their thoughts or emotions, you feel it."
73564,"Tower of Dawn (Throne of Glass, #6)",0,I was often split down the middle with her chapters.
109763,"Lover Unbound (Black Dagger Brotherhood, #5)",0,I loved the Scribe Virgin because of her sacrifice for her son's happiness.
210343,"Firelight (Firelight, #1)",0,Le sigh.
196621,"Six of Crows (Six of Crows, #1)",1,The last page literally made me gasp >:O   I need more.
44224,"Darkness Falls (Immortal Beloved, #2)",0,I just ordered the third book so I cant wait until it gets here and I can see how this wonderful trilogy wraps up.
212898,A Clockwork Orange,0,"""I have heard of A Clockwork Orange."
60823,"Angels & Demons  (Robert Langdon, #1)",0,"I liked Angels and Demons a lot, I truly did."
224692,Ómorphi,0,"They have a roof over their heads, they eat three or more times in a day, they have a loving and supporting family, has a best friend from infancy, has great grades, is captain of the Track Team in his high school, is great looking."
32624,"Undressed (The Manhattanites, #2)",0,"Young Lex is fierce, determined and wise beyond her years."
106775,One Hundred Years of Solitude,0,I don't feel that I can accurately re-review this book.
187495,"The Walking Dead, Vol. 19: March to War",0,"Rick and company make a new ally in Ezekiel, the king of a nearby community who has tiger, and his people."
14741,"Lover at Last (Black Dagger Brotherhood, #11)",0,Qhuinn more or less raised himself.
47857,Since You've Been Gone,0,"I loved the list, and I actually want to try some of them myself."
252401,"The Dark Unwinding (The Dark Unwinding, #1)",0,"How could she not investigate the matter, when staff members accused her of having been drunk or tipsy on evenings she had no recollections of?"
27799,"Redemption (Penton Legacy, #1)",0,Inexplicable attraction that the two main characters try to deny for half the book?
160865,"Notorious Pleasures (Maiden Lane, #2)",0,Notorious Pleasures is the second book in Elizabeth Hoyt's Maiden Lane series but it can definitely be read as a stand alone.
150870,"The Winner's Kiss (The Winner's Trilogy, #3)",0,"Arin tambien ha sido un maravilloso personaje, suave donde Kastrel era dura, comprensivo, caballeroso y sobre todo, dispuesto a lo que fuese por defender a su pueblo."
124508,"The Dream Thieves (The Raven Cycle, #2)",0,This book through me for a loop.
115009,"Isla and the Happily Ever After (Anna and the French Kiss, #3)",0,"After 2 months, I finally finished this book and I'm soooo DISAPPOINTED!"
225403,"The Morning Star (Katerina, #3)",0,"Then, seething in her hatred for the supernatural knight protector of Russia who had killed his own brother, she chated vile curses against the Romanovs..."""
57677,"The Rithmatist (Rithmatist, #1)",0,"I have to admit that I was somewhat skeptical of the whole magical-duels-via-chalk-drawings thing, and Joel's sports-fan-like enthusiasm in the beginning had the potential to turn me off, but by the end of the first chapter I was very intrigued."
157228,"The Suffragette Scandal (Brothers Sinister, #4)",0,with Free after he ran away.
37250,Fuse (Pure #2),0,"Overall the pace moved faster than I expected, but I was having visions of Lost during the last 80 pages or so."
85312,"Frostbite (Vampire Academy, #2)",0,You get introduced to some new characters.
44533,"Arrow's Hell (Wind Dragons MC, #2)",0,She was strong and more than capable of sticking up for herself against all the testosterone the alpha male brother's of the Wind Dragon's threw out.
11627,Wolf Winter,0,"I picked Wolf Winter because it's a Canadian author born abroad, and that's a niche I've been pursuing lately."
245674,"Lead (Stage Dive, #3)",0,"Lastly, have you noticed how freaking versatile Kylie Scott's writing is!?"
199052,"Demon (The Fallen, #2)",0,But I didn't connect well.
75188,The Walls Around Us,0,"While the plot takes its time to get where it's going, in the end it packs quite a gut punch."
148549,These Things Hidden,0,"The writing seemed disjointed at first and I was trying to figure out how everyone's stories pieced together, but as the book continued on everything slowly began making sense."
212325,The Wrenchies,0,I did not care for the characters and the plot was super random.
152574,"Shatter Me (Shatter Me, #1)",0,"In my opinion, Juliette should have fought Warner alone."
285939,"In a Dark, Dark Wood",0,Nora accepts an invitiation to her former friend Clare's Henn party or as Americans call it a bachelorette party.
199632,Passage,0,"But I strongly suspect that quite a few readers will be lost before the end, and will thus miss the message."
196461,"Threats of Sky and Sea (Threats of Sky and Sea, #1)",0,I honestly felt annoyed by how the first three chapters felt so simplistic.
272351,"The Rains (Rains, #1)",0,Solid read.
137562,"Some Sort of Happy (Happy Crazy Love, #1)",1,I wanted to see Skylar struggle with letting him go.
150968,"The Silkworm (Cormoran Strike, #2)",0,"I also felt the ""reveal"" was a little delayed - Strike and Robin are aware of the culprit a few chapters before the reader yet when the reveal came, it was rushed and I found it a little anticlimactic."
195997,Sarah's Key,0,It was fascinating to learn about another aspect of WWII history.
84992,"Warm Bodies (Warm Bodies, #1)",0,R's ideas and dreams for the future were actually pretty amazing for a zombie and really quite motivational.
163516,The Graveyard Book,0,The plot line slowly developed but came together at the end.
297373,"When He Was Wicked (Bridgertons, #6)",0,For me this was a 4 and 1/4 stars...
61961,Crimson Bound,0,And they are both so beautiful it hurts.
196457,"Threats of Sky and Sea (Threats of Sky and Sea, #1)",0,My verdict?
244716,"The Law of Moses (The Law of Moses, #1)",1,"I couldn't help but wonder though.... There is a time lapse here as the story moves forward seven years later, as a lot has happened inside that same time frame."
273698,"Pandemonium (Delirium, #2)",0,"Helpless, useless, dumb."
52470,"Broken Prince (The Royals, #2)",0,"A lot of questions left hanging from the first book were answered, while a whole slew of new ones were raised in relation to the Royal's as a whole, and with certain individual characters as this portion of the drama progressed."
239139,"Pawn of Prophecy (The Belgariad, #1)",0,"I did enjoy seeing Eddings version of the fantasy troupes, this was a fun read that I really enjoyed."
65874,Snowed Over,0,That was definitely the case with Snowed Over.
158491,"The Dream Thieves (The Raven Cycle, #2)",0,Ronan Lynch sets a fire in me.
74976,"Daughter of Smoke and Bone (Daughter of Smoke & Bone, #1)",0,The language is lovely.
72952,"Like a Memory (Sea Breeze Meets Rosemary Beach, #1)",0,"It reminded me a lot of ""The Notebook""."
250979,Wounded,0,Had my emotions stuck in my throat just waiting to be release.
132768,"Pawn (The Blackcoat Rebellion, #1)",0,She may have received a III but she's not unintelligent.
144789,"Black Rainbow (Rainbows, #1)",0,"Their banter was great, and they were off the charts steamy together."
55723,"The Eye of Minds (The Mortality Doctrine, #1)",0,"If you liked ""Ready Player One"", you will definitely enjoy this book."
69422,Ordinary Beauty,0,"She inspires strength and confidence, and makes you feel like you can handle the weight of your own world because of how she handled hers."
100899,"On the Island (On the Island, #1)",0,"His need to take care of Anna made me easily fall for him, and I couldn't help but root that Anna was able to see the man that was right in front of her."
239726,Obsession,0,"vent, before then making some sort of pass/sexual towards Serena, giving more mixed signals than Edward Cullen."
